2016/3/25 19:31:56 End
2016/3/25 19:32:22 Start
2016/3/26 11:16:17 total: 1
2016/3/26 11:16:17 update hr_department
2016/3/26 11:16:17 total: 450
2016/3/26 11:16:20 update hr_employee
2016/3/26 11:16:20 total: 1
2016/3/26 11:16:20 synchronous end
2016/3/26 11:19:17 synchronous start
2016/3/26 11:19:17 update hr_postion_level
2016/3/26 11:19:17 total: 1
2016/3/26 11:19:17 update hr_department
2016/3/26 11:19:17 total: 450
2016/3/26 11:19:20 update hr_employee
2016/3/26 11:19:20 total: 1
2016/3/26 11:19:20 synchronous end
2016/3/26 11:22:17 synchronous start
2016/3/26 11:22:17 update hr_postion_level
2016/3/26 11:22:17 total: 1
2016/3/26 11:22:17 update hr_department
2016/3/26 11:22:17 total: 450
2016/3/26 11:22:20 update hr_employee
2016/3/26 11:22:20 total: 1
2016/3/26 11:22:20 synchronous end
2016/3/26 11:25:17 synchronous start
2016/3/26 11:25:17 update hr_postion_level
2016/3/26 11:25:17 total: 1
2016/3/26 11:25:17 update hr_department
2016/3/26 11:25:17 total: 450
2016/3/26 11:25:20 update hr_employee
2016/3/26 11:25:20 total: 1
2016/3/26 11:25:20 synchronous end
2016/3/26 11:28:17 synchronous start
2016/3/26 11:28:17 update hr_postion_level
2016/3/26 11:28:17 total: 1
2016/3/26 11:28:17 update hr_department
2016/3/26 11:28:17 total: 450
2016/3/26 11:28:20 update hr_employee
2016/3/26 11:28:20 total: 1
2016/3/26 11:28:20 synchronous end
2016/3/26 11:31:17 synchronous start
2016/3/26 11:31:17 update hr_postion_level
2016/3/26 11:31:17 total: 1
2016/3/26 11:31:17 update hr_department
2016/3/26 11:31:17 total: 450
2016/3/26 11:31:20 update hr_employee
2016/3/26 11:31:20 total: 1
2016/3/26 11:31:20 synchronous end
2016/3/26 11:34:17 synchronous start
2016/3/26 11:34:17 update hr_postion_level
2016/3/26 11:34:17 total: 1
2016/3/26 11:34:17 update hr_department
2016/3/26 11:34:17 total: 450
2016/3/26 11:34:20 update hr_employee
2016/3/26 11:34:20 total: 1
2016/3/26 11:34:20 synchronous end
2016/3/26 11:37:17 synchronous start
2016/3/26 11:37:17 update hr_postion_level
2016/3/26 11:37:17 total: 1
2016/3/26 11:37:17 update hr_department
2016/3/26 11:37:17 total: 450
2016/3/26 11:37:20 update hr_employee
2016/3/26 11:37:20 total: 1
2016/3/26 11:37:20 synchronous end
2016/3/26 11:40:17 synchronous start
2016/3/26 11:40:17 update hr_postion_level
2016/3/26 11:40:17 total: 1
2016/3/26 11:40:17 update hr_department
2016/3/26 11:40:17 total: 450
2016/3/26 11:40:20 update hr_employee
2016/3/26 11:40:20 total: 1
2016/3/26 11:40:20 synchronous end
2016/3/26 11:43:17 synchronous start
2016/3/26 11:43:17 update hr_postion_level
2016/3/26 11:43:17 total: 1
2016/3/26 11:43:17 update hr_department
2016/3/26 11:43:17 total: 450
2016/3/26 11:43:20 update hr_employee
2016/3/26 11:43:20 total: 1
2016/3/26 11:43:20 synchronous end
2016/3/26 11:46:17 synchronous start
2016/3/26 11:46:17 update hr_postion_level
2016/3/26 11:46:17 total: 1
2016/3/26 11:46:17 update hr_department
2016/3/26 11:46:17 total: 450
2016/3/26 11:46:20 update hr_employee
2016/3/26 11:46:20 total: 1
2016/3/26 11:46:20 synchronous end
2016/3/26 11:49:17 synchronous start
2016/3/26 11:49:17 update hr_postion_level
2016/3/26 11:49:17 total: 1
2016/3/26 11:49:17 update hr_department
2016/3/26 11:49:17 total: 450
2016/3/26 11:49:20 update hr_employee
2016/3/26 11:49:20 total: 1
2016/3/26 11:49:20 synchronous end
2016/3/26 11:52:20 synchronous start
2016/3/26 11:52:33 update hr_postion_level
2016/3/26 11:52:35 total: 1
2016/3/26 11:55:27 update hr_department
2016/3/26 11:55:27 total: 450
2016/3/26 11:55:30 update hr_employee
2016/3/26 11:55:30 total: 1
2016/3/26 11:55:30 synchronous end
2016/3/26 11:58:28 synchronous start
2016/3/26 11:58:34 update hr_postion_level
2016/3/26 11:58:34 total: 1
2016/3/26 12:01:17 update hr_department
2016/3/26 12:01:17 total: 450
2016/3/26 12:01:21 update hr_employee
2016/3/26 12:01:21 total: 1
2016/3/26 12:01:21 synchronous end
2016/3/26 12:04:17 synchronous start
2016/3/26 12:04:17 update hr_postion_level
2016/3/26 12:04:17 total: 1
2016/3/26 12:04:17 update hr_department
2016/3/26 12:04:17 total: 450
2016/3/26 12:04:20 update hr_employee
2016/3/26 12:04:20 total: 1
2016/3/26 12:04:21 synchronous end
2016/3/26 12:07:17 synchronous start
2016/3/26 12:07:17 update hr_postion_level
2016/3/26 12:07:17 total: 1
2016/3/26 12:07:17 update hr_department
2016/3/26 12:07:17 total: 450
2016/3/26 12:07:20 update hr_employee
2016/3/26 12:07:20 total: 1
2016/3/26 12:07:21 synchronous end
2016/3/26 12:10:17 synchronous start
2016/3/26 12:10:17 update hr_postion_level
2016/3/26 12:10:17 total: 1
2016/3/26 12:10:17 update hr_department
2016/3/26 12:10:17 total: 450
2016/3/26 12:10:21 update hr_employee
2016/3/26 12:10:21 total: 1
2016/3/26 12:10:21 synchronous end
2016/3/26 12:13:17 synchronous start
2016/3/26 12:13:17 update hr_postion_level
2016/3/26 12:13:17 total: 1
2016/3/26 12:13:18 update hr_department
2016/3/26 12:13:18 total: 450
2016/3/26 12:13:21 update hr_employee
2016/3/26 12:13:21 total: 1
2016/3/26 12:13:21 synchronous end
2016/3/26 12:16:17 synchronous start
2016/3/26 12:16:17 update hr_postion_level
2016/3/26 12:16:17 total: 1
2016/3/26 12:16:18 update hr_department
2016/3/26 12:16:18 total: 450
2016/3/26 12:16:20 update hr_employee
2016/3/26 12:16:20 total: 1
2016/3/26 12:16:21 synchronous end
2016/3/26 12:19:17 synchronous start
2016/3/26 12:19:17 update hr_postion_level
2016/3/26 12:19:17 total: 1
2016/3/26 12:19:18 update hr_department
2016/3/26 12:19:18 total: 450
2016/3/26 12:19:21 update hr_employee
2016/3/26 12:19:21 total: 1
2016/3/26 12:19:21 synchronous end
2016/3/26 12:22:17 synchronous start
2016/3/26 12:22:17 update hr_postion_level
2016/3/26 12:22:17 total: 1
2016/3/26 12:22:18 update hr_department
2016/3/26 12:22:18 total: 450
2016/3/26 12:22:21 update hr_employee
2016/3/26 12:22:21 total: 1
2016/3/26 12:22:21 synchronous end
2016/3/26 12:25:17 synchronous start
2016/3/26 12:25:17 update hr_postion_level
2016/3/26 12:25:17 total: 1
2016/3/26 12:25:18 update hr_department
2016/3/26 12:25:18 total: 450
2016/3/26 12:25:21 update hr_employee
2016/3/26 12:25:21 total: 1
2016/3/26 12:25:21 synchronous end
2016/3/26 12:28:17 synchronous start
2016/3/26 12:28:17 update hr_postion_level
2016/3/26 12:28:17 total: 1
2016/3/26 12:28:18 update hr_department
2016/3/26 12:28:18 total: 450
2016/3/26 12:28:21 update hr_employee
2016/3/26 12:28:21 total: 1
2016/3/26 12:28:21 synchronous end
2016/3/26 12:31:17 synchronous start
2016/3/26 12:31:17 update hr_postion_level
2016/3/26 12:31:17 total: 1
2016/3/26 12:31:18 update hr_department
2016/3/26 12:31:18 total: 450
2016/3/26 12:31:21 update hr_employee
2016/3/26 12:31:21 total: 1
2016/3/26 12:31:21 synchronous end
2016/3/26 12:34:17 synchronous start
2016/3/26 12:34:17 update hr_postion_level
2016/3/26 12:34:17 total: 1
2016/3/26 12:34:18 update hr_department
2016/3/26 12:34:18 total: 450
2016/3/26 12:34:21 update hr_employee
2016/3/26 12:34:21 total: 1
2016/3/26 12:34:21 synchronous end
2016/3/26 12:37:17 synchronous start
2016/3/26 12:37:18 update hr_postion_level
2016/3/26 12:37:18 total: 1
2016/3/26 12:37:18 update hr_department
2016/3/26 12:37:18 total: 450
2016/3/26 12:37:21 update hr_employee
2016/3/26 12:37:21 total: 1
2016/3/26 12:37:21 synchronous end
2016/3/26 12:40:17 synchronous start
2016/3/26 12:40:18 update hr_postion_level
2016/3/26 12:40:18 total: 1
2016/3/26 12:40:18 update hr_department
2016/3/26 12:40:18 total: 450
2016/3/26 12:40:21 update hr_employee
2016/3/26 12:40:21 total: 1
2016/3/26 12:40:22 synchronous end
2016/3/26 12:43:17 synchronous start
2016/3/26 12:43:18 update hr_postion_level
2016/3/26 12:43:18 total: 1
2016/3/26 12:43:18 update hr_department
2016/3/26 12:43:18 total: 450
2016/3/26 12:43:21 update hr_employee
2016/3/26 12:43:21 total: 1
2016/3/26 12:43:21 synchronous end
2016/3/26 12:46:17 synchronous start
2016/3/26 12:46:18 update hr_postion_level
2016/3/26 12:46:18 total: 1
2016/3/26 12:46:18 update hr_department
2016/3/26 12:46:18 total: 450
2016/3/26 12:46:21 update hr_employee
2016/3/26 12:46:21 total: 1
2016/3/26 12:46:21 synchronous end
2016/3/26 12:49:17 synchronous start
2016/3/26 12:49:18 update hr_postion_level
2016/3/26 12:49:18 total: 1
2016/3/26 12:49:18 update hr_department
2016/3/26 12:49:18 total: 450
2016/3/26 12:49:21 update hr_employee
2016/3/26 12:49:21 total: 1
2016/3/26 12:49:22 synchronous end
2016/3/26 12:52:17 synchronous start
2016/3/26 12:52:18 update hr_postion_level
2016/3/26 12:52:18 total: 1
2016/3/26 12:52:19 update hr_employee
2016/3/26 12:52:19 total: 1
2016/3/26 12:52:19 synchronous end
2016/3/26 12:55:17 synchronous start
2016/3/26 12:55:18 update hr_postion_level
2016/3/26 12:55:18 total: 1
2016/3/26 12:55:19 update hr_employee
2016/3/26 12:55:19 total: 1
2016/3/26 12:55:19 synchronous end
2016/3/26 12:58:24 synchronous start
2016/3/26 12:59:19 update hr_postion_level
2016/3/26 12:59:19 total: 1
2016/3/26 12:59:21 update hr_employee
2016/3/26 12:59:21 total: 1
2016/3/26 12:59:21 synchronous end
2016/3/26 13:01:18 synchronous start
2016/3/26 13:01:18 update hr_postion_level
2016/3/26 13:01:18 total: 1
2016/3/26 13:01:19 update hr_employee
2016/3/26 13:01:19 total: 1
2016/3/26 13:01:19 synchronous end
2016/3/26 13:04:27 synchronous start
2016/3/26 13:04:37 update hr_postion_level
2016/3/26 13:04:38 total: 1
2016/3/26 13:05:05 update hr_employee
2016/3/26 13:05:05 total: 1
2016/3/26 13:05:05 synchronous end
2016/3/26 13:07:18 synchronous start
2016/3/26 13:07:18 update hr_postion_level
2016/3/26 13:07:18 total: 1
2016/3/26 13:07:19 update hr_employee
2016/3/26 13:07:19 total: 1
2016/3/26 13:07:19 synchronous end
2016/3/26 13:10:18 synchronous start
2016/3/26 13:10:18 update hr_postion_level
2016/3/26 13:10:18 total: 1
2016/3/26 13:10:19 update hr_employee
2016/3/26 13:10:19 total: 1
2016/3/26 13:10:19 synchronous end
2016/3/26 13:13:18 synchronous start
2016/3/26 13:13:18 update hr_postion_level
2016/3/26 13:13:18 total: 1
2016/3/26 13:13:19 update hr_employee
2016/3/26 13:13:19 total: 1
2016/3/26 13:13:19 synchronous end
2016/3/26 13:16:18 synchronous start
2016/3/26 13:16:18 update hr_postion_level
2016/3/26 13:16:18 total: 1
2016/3/26 13:16:19 update hr_employee
2016/3/26 13:16:19 total: 1
2016/3/26 13:16:19 synchronous end
2016/3/26 13:19:18 synchronous start
2016/3/26 13:19:18 update hr_postion_level
2016/3/26 13:19:18 total: 1
2016/3/26 13:19:19 update hr_employee
2016/3/26 13:19:19 total: 1
2016/3/26 13:19:19 synchronous end
2016/3/26 13:22:18 synchronous start
2016/3/26 13:22:18 update hr_postion_level
2016/3/26 13:22:18 total: 1
2016/3/26 13:22:19 update hr_employee
2016/3/26 13:22:19 total: 1
2016/3/26 13:22:19 synchronous end
2016/3/26 13:25:18 synchronous start
2016/3/26 13:25:18 update hr_postion_level
2016/3/26 13:25:18 total: 1
2016/3/26 13:25:19 update hr_employee
2016/3/26 13:25:19 total: 1
2016/3/26 13:25:19 synchronous end
2016/3/26 13:28:18 synchronous start
2016/3/26 13:28:18 update hr_postion_level
2016/3/26 13:28:18 total: 1
2016/3/26 13:28:19 update hr_employee
2016/3/26 13:28:19 total: 1
2016/3/26 13:28:19 synchronous end
2016/3/26 13:31:18 synchronous start
2016/3/26 13:31:18 update hr_postion_level
2016/3/26 13:31:18 total: 1
2016/3/26 13:31:19 update hr_employee
2016/3/26 13:31:19 total: 1
2016/3/26 13:31:19 synchronous end
2016/3/26 13:34:18 synchronous start
2016/3/26 13:34:18 update hr_postion_level
2016/3/26 13:34:18 total: 1
2016/3/26 13:34:19 update hr_employee
2016/3/26 13:34:19 total: 1
2016/3/26 13:34:19 synchronous end
2016/3/26 13:37:18 synchronous start
2016/3/26 13:37:18 update hr_postion_level
2016/3/26 13:37:18 total: 1
2016/3/26 13:37:19 update hr_employee
2016/3/26 13:37:19 total: 1
2016/3/26 13:37:19 synchronous end
2016/3/26 13:40:18 synchronous start
2016/3/26 13:40:18 update hr_postion_level
2016/3/26 13:40:18 total: 1
2016/3/26 13:40:19 update hr_employee
2016/3/26 13:40:19 total: 1
2016/3/26 13:40:19 synchronous end
2016/3/26 13:43:18 synchronous start
2016/3/26 13:43:18 update hr_postion_level
2016/3/26 13:43:18 total: 1
2016/3/26 13:43:19 update hr_employee
2016/3/26 13:43:19 total: 1
2016/3/26 13:43:19 synchronous end
2016/3/26 13:44:34 End
2016/7/18 15:02:48 Start
2016/7/18 15:02:48 Init Data
2016/7/18 15:02:48 immediately:True;hour:9,12,15,18;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/18 15:02:48 synchronous start
2016/7/18 15:02:49 update hr_position
2016/7/18 15:02:49 total: 1
2016/7/18 15:02:49 update hr_postion_level
2016/7/18 15:02:49 total: 1
2016/7/18 15:02:49 update hr_dept_position
2016/7/18 15:02:49 total: 8
2016/7/18 15:02:50 update hr_employee
2016/7/18 15:02:50 total: 14
2016/7/18 15:02:51 update sys_user
2016/7/18 15:02:51 total: 17
2016/7/18 15:02:51 synchronous end
2016/7/18 15:02:51 Init Timer
2016/7/18 15:02:51 End Init
2016/7/18 15:12:31 End
2016/7/18 15:12:35 Start
2016/7/18 15:12:35 Init Data
2016/7/18 15:12:35 immediately:True;hour:9,12,15,18;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/18 15:12:35 synchronous start
2016/7/18 15:12:35 update hr_postion_level
2016/7/18 15:12:35 total: 1
2016/7/18 15:12:36 update hr_employee
2016/7/18 15:12:36 total: 1
2016/7/18 15:12:37 update sys_user
2016/7/18 15:12:37 total: 1
2016/7/18 15:12:37 synchronous end
2016/7/18 15:12:37 Init Timer
2016/7/18 15:12:37 End Init
2016/7/18 15:24:08 End
2016/7/18 15:24:11 Start
2016/7/18 15:24:11 Init Data
2016/7/18 15:24:11 immediately:True;hour:9,12,15,18;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/18 15:24:11 synchronous start
2016/7/18 15:24:11 update hr_postion_level
2016/7/18 15:24:11 total: 1
2016/7/18 15:24:13 update hr_employee
2016/7/18 15:24:13 total: 1
2016/7/18 15:24:13 update sys_user
2016/7/18 15:24:13 total: 1
2016/7/18 15:24:13 synchronous end
2016/7/18 15:24:13 Init Timer
2016/7/18 15:24:13 End Init
2016/7/18 19:28:02 End
2016/7/18 19:28:08 Start
2016/7/18 19:28:08 Init Data
2016/7/18 19:28:08 immediately:True;hour:9,12,15,18;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/18 19:28:08 synchronous start
2016/7/18 19:28:11 update hr_postion_level
2016/7/18 19:28:11 total: 1
2016/7/18 19:28:12 update hr_employee
2016/7/18 19:28:12 total: 1
2016/7/18 19:28:13 update sys_user
2016/7/18 19:28:13 total: 1
2016/7/18 19:28:13 synchronous end
2016/7/18 19:28:13 Init Timer
2016/7/18 19:28:13 End Init
2016/7/19 8:57:06 Start
2016/7/19 8:57:07 Init Data
2016/7/19 8:57:07 immediately:True;hour:9,12,15,18;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/19 8:57:31 synchronous start
2016/7/19 8:59:24 update hr_postion_level
2016/7/19 8:59:24 total: 1
2016/7/19 8:59:25 update hr_employee
2016/7/19 8:59:25 total: 1
2016/7/19 8:59:26 synchronous end
2016/7/19 8:59:26 Init Timer
2016/7/19 8:59:26 End Init
2016/7/19 9:43:28 End
2016/7/19 9:45:18 Start
2016/7/19 9:45:18 Init Data
2016/7/19 9:45:18 immediately:True;hour:9:50,12,15,18;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/19 9:45:18 synchronous start
2016/7/19 9:45:18 update hr_postion_level
2016/7/19 9:45:18 total: 1
2016/7/19 9:45:20 update hr_employee
2016/7/19 9:45:20 total: 1
2016/7/19 9:45:20 synchronous end
2016/7/19 9:45:20 Init Timer
2016/7/19 9:45:20 End Init
2016/7/19 9:58:27 End
2016/7/19 10:01:36 Start
2016/7/19 10:01:36 Init Data
2016/7/19 10:01:36 immediately:True;hour:9,10:02,15,18;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/19 10:01:36 synchronous start
2016/7/19 10:01:36 update hr_postion_level
2016/7/19 10:01:36 total: 1
2016/7/19 10:01:38 update hr_employee
2016/7/19 10:01:38 total: 1
2016/7/19 10:01:38 update sys_user
2016/7/19 10:01:38 total: 1
2016/7/19 10:01:38 synchronous end
2016/7/19 10:01:38 Init Timer
2016/7/19 10:01:38 End Init
2016/7/19 10:02:27 End
2016/7/19 10:03:04 Start
2016/7/19 10:03:04 Init Data
2016/7/19 10:03:04 immediately:True;hour:9,10:05,15,18;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/19 10:03:04 synchronous start
2016/7/19 10:03:05 update hr_postion_level
2016/7/19 10:03:05 total: 1
2016/7/19 10:03:06 update hr_employee
2016/7/19 10:03:06 total: 1
2016/7/19 10:03:06 update sys_user
2016/7/19 10:03:06 total: 1
2016/7/19 10:03:06 synchronous end
2016/7/19 10:03:06 Init Timer
2016/7/19 10:03:06 End Init
2016/7/19 10:05:15 synchronous start
2016/7/19 10:05:46 update hr_postion_level
2016/7/19 10:05:46 total: 1
2016/7/19 10:05:52 update hr_employee
2016/7/19 10:05:53 total: 1
2016/7/19 10:05:54 update sys_user
2016/7/19 10:05:54 total: 1
2016/7/19 10:05:55 synchronous end
2016/7/19 10:11:47 End
2016/7/19 10:12:40 Start
2016/7/19 10:12:40 Init Data
2016/7/19 10:12:40 immediately:True;hour:9,12,10:16,18;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/19 10:12:40 synchronous start
2016/7/19 10:12:40 update hr_postion_level
2016/7/19 10:12:40 total: 1
2016/7/19 10:12:42 update hr_employee
2016/7/19 10:12:42 total: 1
2016/7/19 10:12:42 synchronous end
2016/7/19 10:12:42 Init Timer
2016/7/19 10:12:42 End Init
2016/7/19 10:18:07 End
2016/7/19 10:19:12 Start
2016/7/19 10:19:12 Init Data
2016/7/19 10:19:12 System.FormatException: 输入字符串的格式不正确。
   在 System.Number.StringToNumber(String str, NumberStyles options, NumberBuffer& number, NumberFormatInfo info, Boolean parseDecimal)
   在 System.Number.ParseInt32(String s, NumberStyles style, NumberFormatInfo info)
   在 System.Convert.ToInt32(String value)
   在 e2d.e2d.InitData() 位置 D:\PANSHI\e2d\e2d\e2d\e2d.cs:行号 75
2016/7/19 10:19:12 End Init
2016/7/19 10:22:32 Start
2016/7/19 10:22:32 Init Data
2016/7/19 10:22:32 immediately:True;hour:9,12,10:16,10:24;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/19 10:22:32 synchronous start
2016/7/19 10:22:32 update hr_postion_level
2016/7/19 10:22:32 total: 1
2016/7/19 10:22:33 update hr_employee
2016/7/19 10:22:33 total: 1
2016/7/19 10:22:34 update sys_user
2016/7/19 10:22:34 total: 1
2016/7/19 10:22:34 synchronous end
2016/7/19 10:22:34 Init Timer
2016/7/19 10:22:34 End Init
2016/7/19 10:28:56 End
2016/7/19 10:29:25 Start
2016/7/19 10:29:25 Init Data
2016/7/19 10:29:25 immediately:True;hour:9,12,10:16,10:31;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/19 10:29:25 synchronous start
2016/7/19 10:29:25 update hr_postion_level
2016/7/19 10:29:25 total: 1
2016/7/19 10:29:27 update hr_employee
2016/7/19 10:29:27 total: 1
2016/7/19 10:29:27 update sys_user
2016/7/19 10:29:27 total: 1
2016/7/19 10:29:27 synchronous end
2016/7/19 10:29:27 Init Timer
2016/7/19 10:29:27 End Init
2016/7/19 10:30:52 End
2016/7/19 10:31:37 Start
2016/7/19 10:31:37 Init Data
2016/7/19 10:31:37 immediately:True;hour:9,10:35,10:33,10:31;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/19 10:31:37 synchronous start
2016/7/19 10:31:38 update hr_postion_level
2016/7/19 10:31:38 total: 1
2016/7/19 10:31:39 update hr_employee
2016/7/19 10:31:39 total: 1
2016/7/19 10:31:40 update sys_user
2016/7/19 10:31:40 total: 1
2016/7/19 10:31:40 synchronous end
2016/7/19 10:31:40 Init Timer
2016/7/19 10:31:40 End Init
2016/7/19 10:35:47 synchronous start
2016/7/19 10:35:51 update hr_postion_level
2016/7/19 10:35:52 total: 1
2016/7/19 10:36:13 update hr_employee
2016/7/19 10:36:15 total: 1
2016/7/19 10:36:25 update sys_user
2016/7/19 10:36:25 total: 1
2016/7/19 10:36:25 synchronous end
2016/7/19 14:55:26 End
2016/7/19 15:44:33 Start
2016/7/19 15:44:33 Init Data
2016/7/19 15:44:33 immediately:True;hour:9,12,16,17,18;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/19 15:44:34 synchronous start
2016/7/19 15:44:36 update hr_postion_level
2016/7/19 15:44:36 total: 1
2016/7/19 15:44:37 update hr_employee
2016/7/19 15:44:37 total: 1
2016/7/19 15:44:37 synchronous end
2016/7/19 15:44:37 Init Timer
2016/7/19 15:44:37 End Init
2016/7/20 8:54:51 Start
2016/7/20 8:54:51 Init Data
2016/7/20 8:54:51 immediately:True;hour:9,12,16,17,18;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/20 8:54:51 synchronous start
2016/7/20 8:55:01 update hr_postion_level
2016/7/20 8:55:01 total: 1
2016/7/20 8:55:03 update hr_employee
2016/7/20 8:55:03 total: 1
2016/7/20 8:55:03 update sys_user
2016/7/20 8:55:03 total: 1
2016/7/20 8:55:03 synchronous end
2016/7/20 8:55:03 Init Timer
2016/7/20 8:55:03 End Init
2016/7/20 9:14:25 End
2016/7/21 8:53:48 Start
2016/7/21 8:53:49 Init Data
2016/7/21 8:53:49 immediately:True;hour:9,12,16,17,18;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/21 8:53:53 synchronous start
2016/7/21 8:55:37 update hr_postion_level
2016/7/21 8:55:37 total: 1
2016/7/21 8:55:39 update hr_employee
2016/7/21 8:55:39 total: 1
2016/7/21 8:55:40 synchronous end
2016/7/21 8:55:40 Init Timer
2016/7/21 8:55:40 End Init
2016/7/21 12:00:43 synchronous start
2016/7/21 12:00:43 update hr_postion_level
2016/7/21 12:00:43 total: 1
2016/7/21 12:00:44 update hr_employee
2016/7/21 12:00:44 total: 1
2016/7/21 12:00:45 synchronous end
2016/7/21 16:00:46 synchronous start
2016/7/21 16:00:48 update hr_postion_level
2016/7/21 16:00:48 total: 1
2016/7/21 16:00:50 update hr_employee
2016/7/21 16:00:50 total: 1
2016/7/21 16:00:50 synchronous end
2016/7/21 17:00:47 synchronous start
2016/7/21 17:00:47 update hr_postion_level
2016/7/21 17:00:47 total: 1
2016/7/21 17:00:49 update hr_employee
2016/7/21 17:00:49 total: 1
2016/7/21 17:00:49 synchronous end
2016/7/21 18:00:48 synchronous start
2016/7/21 18:00:48 update hr_postion_level
2016/7/21 18:00:48 total: 1
2016/7/21 18:00:49 update hr_employee
2016/7/21 18:00:49 total: 1
2016/7/21 18:00:50 synchronous end
2016/7/22 8:52:14 Start
2016/7/22 8:52:14 Init Data
2016/7/22 8:52:14 immediately:True;hour:9,12,16,17,18;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/22 8:52:17 synchronous start
2016/7/22 8:52:24 update hr_postion_level
2016/7/22 8:52:24 total: 1
2016/7/22 8:52:25 update hr_employee
2016/7/22 8:52:25 total: 1
2016/7/22 8:52:26 synchronous end
2016/7/22 8:52:26 Init Timer
2016/7/22 8:52:26 End Init
2016/7/22 12:00:28 synchronous start
2016/7/22 12:00:28 update hr_postion_level
2016/7/22 12:00:28 total: 1
2016/7/22 12:00:30 update hr_employee
2016/7/22 12:00:30 total: 1
2016/7/22 12:00:30 synchronous end
2016/7/22 16:00:32 synchronous start
2016/7/22 16:00:32 update hr_postion_level
2016/7/22 16:00:32 total: 1
2016/7/22 16:00:33 update hr_employee
2016/7/22 16:00:33 total: 1
2016/7/22 16:00:34 synchronous end
2016/7/22 17:00:33 synchronous start
2016/7/22 17:00:33 update hr_postion_level
2016/7/22 17:00:33 total: 1
2016/7/22 17:00:34 update hr_employee
2016/7/22 17:00:34 total: 1
2016/7/22 17:00:34 synchronous end
2016/7/22 18:00:33 synchronous start
2016/7/22 18:00:34 update hr_postion_level
2016/7/22 18:00:34 total: 1
2016/7/22 18:00:35 update hr_employee
2016/7/22 18:00:35 total: 1
2016/7/22 18:00:35 synchronous end
2016/7/23 8:48:06 Start
2016/7/23 8:48:07 Init Data
2016/7/23 8:48:08 immediately:True;hour:9,12,16,17,18;fromDB:data source=erpdbdev;persist security info=false;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/7/23 8:48:27 synchronous start
2016/7/23 8:50:24 update hr_postion_level
2016/7/23 8:50:24 total: 1
2016/7/23 8:50:26 update hr_employee
2016/7/23 8:50:26 total: 1
2016/7/23 8:50:27 synchronous end
